分数,人数,累计人数
640-750,30,30
639,4,34
638,4,38
637,6,44
636,5,49
635,12,61
634,14,75
633,5,80
632,14,94
631,4,98
630,11,109
629,19,128
628,14,142
627,18,160
626,15,175
625,28,203
624,19,222
623,25,247
622,15,262
621,25,287
620,34,321
619,26,347
618,25,372
617,26,398
616,34,432
615,32,464
614,37,501
613,51,552
612,48,600
611,40,640
610,48,688
609,53,741
608,55,796
607,52,848
606,50,898
605,71,969
604,73,1042
603,60,1102
602,68,1170
601,77,1247
600,72,1319
599,71,1390
598,86,1476
597,89,1565
596,92,1657
595,94,1751
594,100,1851
593,97,1948
592,105,2053
591,105,2158
590,118,2276
